,Clinical Measure,Feature,R-Squared,Slope Group 0,Slope Group 1,P-Val 0_1,Slope Group 2,P-Val 0_2,P-val 1_2,Int Group 0,Int Group 1,C P-Val 0_1,Int Group 2,C P-Val 0_2,C P-val 1_2
0,MDS,UPDRS,0.063,0.08 ± 0.02,0.10 ± 0.03,0.065,0.11 ± 0.03,0.053,0.737,-0.40 ± 0.10,-0.33 ± 0.12,0.223,-0.30 ± 0.13,0.12,0.576
1,MDS,UPDRS,0.007,0.03 ± 0.02,0.01 ± 0.03,0.179,0.04 ± 0.03,0.774,0.066,-0.15 ± 0.09,-0.07 ± 0.11,0.201,-0.04 ± 0.12,0.085,0.485
2,MDS,UPDRS,0.048,0.08 ± 0.02,0.05 ± 0.02,0.021,0.09 ± 0.03,0.543,0.001,-0.28 ± 0.08,-0.20 ± 0.09,0.105,-0.27 ± 0.10,0.892,0.1
3,MDS,UPDRS,0.087,0.09 ± 0.02,0.09 ± 0.02,0.858,0.10 ± 0.02,0.357,0.183,-0.39 ± 0.08,-0.28 ± 0.09,0.022,-0.31 ± 0.10,0.111,0.553
4,MDS,UPDRS,0.113,0.13 ± 0.02,0.13 ± 0.03,0.799,0.15 ± 0.03,0.381,0.173,-0.49 ± 0.10,-0.47 ± 0.11,0.732,-0.40 ± 0.13,0.156,0.171
5,MDS,UPDRS,0.008,0.05 ± 0.02,0.02 ± 0.03,0.026,0.01 ± 0.03,0.002,0.196,-0.13 ± 0.09,-0.09 ± 0.11,0.517,-0.05 ± 0.12,0.217,0.422
6,MDS,UPDRS,0.036,0.06 ± 0.03,0.10 ± 0.04,0.022,0.08 ± 0.04,0.395,0.136,-0.42 ± 0.13,-0.29 ± 0.15,0.105,-0.16 ± 0.17,0.002,0.052
7,MDS,UPDRS,0.018,0.06 ± 0.03,0.07 ± 0.04,0.444,0.06 ± 0.04,0.74,0.661,-0.17 ± 0.13,-0.21 ± 0.15,0.587,-0.28 ± 0.17,0.183,0.299
8,MDS,UPDRS,0.098,0.13 ± 0.03,0.14 ± 0.03,0.588,0.18 ± 0.04,0.004,0.004,-0.49 ± 0.12,-0.51 ± 0.14,0.699,-0.48 ± 0.15,0.909,0.567
9,MDS,UPDRS,0.02,0.06 ± 0.03,0.08 ± 0.03,0.153,0.02 ± 0.04,0.034,0.0,-0.14 ± 0.11,-0.29 ± 0.13,0.027,-0.07 ± 0.15,0.341,0.0
10,MDS,UPDRS,0.039,0.03 ± 0.03,0.10 ± 0.03,0.0,0.10 ± 0.04,0.0,0.744,-0.26 ± 0.12,-0.29 ± 0.14,0.737,-0.31 ± 0.16,0.539,0.701
11,MDS,UPDRS,0.017,-0.03 ± 0.02,-0.05 ± 0.03,0.281,-0.05 ± 0.03,0.312,0.959,0.18 ± 0.09,0.16 ± 0.11,0.793,0.09 ± 0.12,0.146,0.133
